ID,Age,Gender,Course,Academic,Attendance,6,7,8,9,10,11,12,13,14,15,16,17,hours_week,days_studied_week,hours_at_time,time_day_studied
1,3,M,Science and engineering,3,4.0,5.0,2,3.0,2.0,2.0,3.0,2.0,1,3.0,4,3.0,4.0,4,3,1,4
3,2,M,Law/Legal studies,4,1.0,2.0,4,2.0,4.0,4.0,4.0,3.0,3,3.0,3,2.0,2.0,2,1,1,2
4,2,M,Business,3,2.0,3.0,4,3.0,3.0,4.0,3.0,3.0,3,3.0,2,3.0,2.0,2,1,4,2
5,2,M,Law/Legal studies,4,1.0,4.0,3,2.0,5.0,4.0,2.0,5.0,4,1.0,5,1.0,1.0,3,1,1,4
6,2,M,Art and Design,4,1.0,2.0,2,2.0,3.0,2.0,3.0,3.0,1,4.0,1,1.0,3.0,2,4,3,3
8,2,M,Computing,2,1.0,2.0,4,5.0,4.0,4.0,4.0,4.0,2,2.0,2,2.0,4.0,1,4,1,3
9,2,M,Computing,5,1.0,1.0,2,2.0,3.0,4.0,1.0,1.0,1,2.0,4,1.0,5.0,3,3,3,2
10,2,M,Business,5,2.0,1.0,3,3.0,3.0,3.0,3.0,3.0,3,3.0,3,3.0,3.0,5,1,1,2
11,1,M,Business,3,2.0,3.0,4,3.0,3.0,1.0,4.0,3.0,2,2.0,4,3.0,2.0,3,4,2,2
12,1,M,Business,4,4.0,2.0,3,3.0,3.0,4.0,2.0,2.0,2,4.0,2,4.0,2.0,4,2,1,3
13,1,M,Business,4,3.0,4.0,2,2.0,4.0,3.0,3.0,4.0,3,1.0,3,4.0,2.0,1,4,2,1
14,1,M,Business,4,2.0,2.0,2,4.0,4.0,5.0,2.0,5.0,1,2.0,3,4.0,4.0,1,4,2,3
15,1,M,Business,5,2.0,5.0,1,2.0,3.0,1.0,5.0,4.0,5,2.0,3,4.0,3.0,5,1,3,1
20,1,M,Social Sciences and Humanities,5,5.0,5.0,2,1.0,3.0,4.0,3.0,4.0,2,2.0,2,3.0,3.0,4,2,4,1
21,1,M,Media and Communications,4,1.0,2.0,3,3.0,3.0,2.0,4.0,4.0,2,2.0,4,4.0,2.0,4,4,2,3
22,1,M,Art and Design,5,1.0,2.0,4,4.0,4.0,4.0,4.0,4.0,1,4.0,4,4.0,4.0,1,1,3,2
24,1,M,Business,3,4.0,4.0,1,3.0,4.0,3.0,3.0,2.0,5,3.0,3,5.0,4.0,3,4,4,2
26,1,M,Business,4,3.0,3.0,2,3.0,4.0,4.0,4.0,3.0,3,5.0,5,3.0,5.0,3,1,2,1
28,1,M,Business,3,2.0,1.0,2,2.0,3.0,2.0,4.0,4.0,4,2.0,4,4.0,2.0,5,5,2,4
29,1,M,Business,4,3.0,3.0,3,3.0,3.0,3.0,2.0,3.0,3,3.0,4,3.0,3.0,1,3,3,1
32,1,M,Business,4,1.0,3.0,2,4.0,3.0,2.0,2.0,5.0,4,4.0,3,4.0,3.0,4,3,3,4
33,2,M,Computing,4,1.0,3.0,5,3.0,3.0,3.0,3.0,3.0,1,4.0,4,4.0,2.0,1,4,4,4
34,2,M,Media and Communications,3,2.0,2.0,3,2.0,2.0,3.0,3.0,3.0,3,2.0,2,2.0,2.0,4,3,4,1
35,2,M,Business,3,1.0,4.0,4,4.0,1.0,4.0,2.0,3.0,1,4.0,5,2.0,4.0,4,3,3,3
36,2,M,Business,3,,4.0,4,,,1.0,5.0,2.0,2,3.0,3,4.0,2.0,1,1,3,1
37,2,M,Business,3,1.0,2.0,3,2.0,2.0,4.0,2.0,2.0,1,2.0,2,2.0,3.0,1,5,4,4
38,2,M,Social Sciences and Humanities,4,2.0,4.0,3,4.0,,1.0,2.0,3.0,3,4.0,4,3.0,5.0,1,3,4,3
39,2,M,Business,4,3.0,3.0,5,3.0,4.0,2.0,3.0,,5,3.0,4,4.0,3.0,4,5,4,4
40,3,M,Business,3,3.0,2.0,4,2.0,4.0,2.0,2.0,4.0,2,4.0,4,2.0,,2,5,3,4
41,3,M,Business,3,3.0,2.0,2,2.0,2.0,3.0,3.0,3.0,3,4.0,2,4.0,4.0,3,1,2,1
43,2,M,Law/Legal studies,4,3.0,4.0,2,2.0,4.0,2.0,4.0,4.0,4,2.0,4,4.0,2.0,4,2,1,1
44,2,M,Business,2,4.0,3.0,3,2.0,3.0,3.0,3.0,3.0,2,2.0,3,2.0,2.0,2,1,2,2
45,2,M,Business,3,1.0,2.0,4,2.0,4.0,4.0,2.0,2.0,2,4.0,2,2.0,2.0,5,3,2,4
46,2,M,Business,3,3.0,4.0,2,2.0,3.0,4.0,4.0,3.0,2,4.0,4,4.0,3.0,5,5,3,3
47,2,M,Business,4,1.0,2.0,4,2.0,3.0,5.0,1.0,2.0,2,4.0,3,2.0,4.0,1,2,4,1
48,2,M,Business,2,4.0,3.0,3,3.0,2.0,2.0,3.0,5.0,3,4.0,3,3.0,4.0,3,4,3,1
49,3,M,Business,2,1.0,3.0,2,2.0,4.0,1.0,4.0,4.0,2,3.0,3,3.0,3.0,4,1,3,3
50,2,M,Business,3,1.0,3.0,2,4.0,3.0,2.0,3.0,3.0,4,3.0,3,4.0,3.0,4,4,1,3
51,2,M,Business,1,4.0,4.0,2,3.0,2.0,3.0,3.0,4.0,3,4.0,3,4.0,2.0,5,2,4,4
52,2,M,Business,3,2.0,4.0,3,2.0,4.0,3.0,4.0,3.0,3,2.0,3,4.0,4.0,3,1,1,3
53,3,M,Business,3,2.0,4.0,2,2.0,4.0,5.0,2.0,3.0,1,3.0,3,5.0,5.0,5,1,2,2
54,2,M,Business,4,2.0,4.0,3,2.0,3.0,4.0,2.0,3.0,3,2.0,4,3.0,2.0,2,5,1,1
57,2,F,Law/Legal studies,4,1.0,2.0,3,1.0,,2.0,2.0,1.0,1,4.0,4,4.0,4.0,4,3,1,4
58,2,F,Business,3,1.0,2.0,3,4.0,4.0,4.0,5.0,4.0,1,4.0,5,4.0,4.0,5,5,1,4
59,2,F,Law/Legal studies,5,2.0,2.0,4,3.0,2.0,4.0,5.0,4.0,3,4.0,4,4.0,4.0,5,3,2,3
60,2,F,Law/Legal studies,4,1.0,2.0,3,2.0,3.0,2.0,2.0,2.0,2,2.0,4,4.0,3.0,5,2,4,1
63,3,F,Business,3,1.0,2.0,4,2.0,2.0,2.0,2.0,2.0,2,2.0,2,2.0,2.0,3,1,3,4
64,3,F,Business,4,1.0,2.0,5,3.0,3.0,2.0,3.0,4.0,1,3.0,5,4.0,2.0,5,2,2,1
